MUNICIPALITY NAME,NAME OF PERSON ELECTED - LAST NAME,NAME OF PERSON ELECTED - FIRST NAME,"NAME OF
OFFICE",NUMBER OF VOTES CAST FOR THE CANDIDATE,NUMBER OF VOTES CAST FOR THE OFFICE,ELECTED or ACCLAIMED?,DID CANDIDATE SERVE ON 2010-2014 COUNCIL? (YES / NO)
Huron Co,DONNELLY,JIM,COUNTY COUNCILLOR,,,,YES
Huron Co,VERSTEEG,ART,COUNTY COUNCILLOR,,,,YES
Huron Co,MACLELLAN,BERNIE,COUNTY COUNCILLOR,,,,YES
Huron Co,STEFFLER,JOE,COUNTY COUNCILLOR,,,,YES
Huron Co,GOWING,PAUL,COUNTY COUNCILLOR,,,,YES
Huron Co,VINCENT,NEIL,COUNTY COUNCILLOR,,,,YES
Huron Co,COLE,MAUREEN,COUNTY COUNCILLOR,,,,NO
Huron Co,FRAYNE,DAVE,COUNTY COUNCILLOR,,,,YES
Huron East M,MACLELLAN,BERNIE,MAYOR,,,ACCLAIMED,YES
Huron East M,STEFFLER,JOE,DEPUTY MAYOR,,,ACCLAIMED,YES
Huron East M,BLANEY,DAVID,LOCAL COUNCILLOR,,,ACCLAIMED,YES
Huron East M,LOWE,JOHN,LOCAL COUNCILLOR,,,ACCLAIMED,NO
Huron East M,MCLELLAN,ALVIN,LOCAL COUNCILLOR,253,419,ELECTED,YES
Huron East M,DIEHL,DIANNE,LOCAL COUNCILLOR,249,419,ELECTED,YES
Huron East M,WILBEE,KEVIN,LOCAL COUNCILLOR,344,448,ELECTED,NO
Huron East M,DALTON,BRENDA,LOCAL COUNCILLOR,339,448,ELECTED,NO
Huron East M,MARSAHLL,NATHAN,LOCAL COUNCILLOR,430,627,ELECTED,YES
Huron East M,FISHER,BOB,LOCAL COUNCILLOR,368,627,ELECTED,YES
Huron East M,CHARTRAND,RAYMOND,LOCAL COUNCILLOR,636,978,ELECTED,NO
Huron East M,MCGRATH,LARRY,LOCAL COUNCILLOR,462,978,ELECTED,YES
Huron-Kinloss Tp,TWOLAN,MITCH,MAYOR,"2,088","2,334",ELECTED,YES
Huron-Kinloss Tp,GAMBLE,WILF,DEPUTY MAYOR,,,ACCLAIMED,YES
Huron-Kinloss Tp,ABBOTT,LILLIAN,LOCAL COUNCILLOR,,,ACCLAIMED,YES
Huron-Kinloss Tp,ELLIOTT,JEFF,LOCAL COUNCILLOR,,,ACCLAIMED,YES
Huron-Kinloss Tp,HANNA,JAMES,LOCAL COUNCILLOR,,,ACCLAIMED,YES
Huron-Kinloss Tp,MURRAY,DONALD,LOCAL COUNCILLOR,,,ACCLAIMED,YES
Huron-Kinloss Tp,SLOETJES,CARL,LOCAL COUNCILLOR,,,ACCLAIMED,YES
Ingersoll T,COMISKEY,TED,MAYOR,"2,930","3,948",ELECTED,YES
Ingersoll T,FREEMAN,FRED,DEPUTY MAYOR,"1,939","3,822",ELECTED,YES
Ingersoll T,BOWMAN,MICHAAEL,LOCAL COUNCILLOR,,,ELECTED,NO
Ingersoll T,LESSER,GORDON,LOCAL COUNCILLOR,,,ELECTED,YES
Ingersoll T,PETRIE,BRIAN,LOCAL COUNCILLOR,,,ELECTED,NO
Ingersoll T,VAN KOOTEN-BOSSENCE,KRISTY,LOCAL COUNCILLOR,,,ELECTED,YES
Ingersoll T,WARNICK-FRANKLIN,REAGAN,LOCAL COUNCILLOR,,,ELECTED,NO
Kincardine M,EADIE,ANNE,MAYOR,"3,130","4,681",ELECTED,YES
Kincardine M,FAUBERT,JACQUELINE,LOCAL COUNCILLOR,"2,968","15,043",ELECTED,YES
Kincardine M,CAMPBELL,GORDON,LOCAL COUNCILLOR,"1,935","15,043",ELECTED,NO
Kincardine M,HAIGHT,LAURA,LOCAL COUNCILLOR,"2,835","15,043",ELECTED,NO
Kincardine M,WHITE,ANDREW,LOCAL COUNCILLOR,"2,583","15,043",ELECTED,NO
Kincardine M,COUTURE,MAUREEN,LOCAL COUNCILLOR,"1,501","4,423",ELECTED,YES
Kincardine M,LEGGETT,MIKE,LOCAL COUNCILLOR,"1,237","4,423",ELECTED,YES
Kincardine M,MCKEE,LINDA,LOCAL COUNCILLOR,687,"1,334",ELECTED,NO
Kincardine M,ROPPEL,RANDY,LOCAL COUNCILLOR,769,902,ELECTED,YES
Kingsville T,SANTOS,NELSON,MAYOR,"5,902","7,194",ELECTED,YES
Kingsville T,QUEEN,GORD,DEPUTY MAYOR,"4,271","6,638",ELECTED,YES
Kingsville T,GAFFAN,TONY,LOCAL COUNCILLOR,"3,920","27,683",ELECTED,NO
Kingsville T,PATTERSON,LARRY,LOCAL COUNCILLOR,"2,806","27,683",ELECTED,NO
Kingsville T,MCINTYRE,SANDY,LOCAL COUNCILLOR,"2,701","27,683",ELECTED,YES
Kingsville T,SUSANNE,COGHILL,LOCAL COUNCILLOR,"2,323","27,683",ELECTED,NO
Kingsville T,NEUFELD,THOMAS,LOCAL COUNCILLOR,"2,104","27,683",ELECTED,NO
Kitchener C,VRBANOVIC,BERRY,MAYOR,"26,946","44,166",ELECTED,YES
Kitchener C,DAVEY,SCOTT,LOCAL COUNCILLOR,"2,822","4,966",ELECTED,YES
Kitchener C,SCHNIDER,DAVE,LOCAL COUNCILLOR,"1,994","6,047",ELECTED,NO
Kitchener C,GAZZOLA,JOHN,LOCAL COUNCILLOR,,,ACCLAIMED,YES
Kitchener C,FERNANDES,YVONNE,LOCAL COUNCILLOR,"2,423","3,639",ELECTED,YES
Kitchener C,GALLOWAY-SEALOCK,KELLY,LOCAL COUNCILLOR,"1,592","2,372",ELECTED,YES
Kitchener C,SINGH,PAUL,LOCAL COUNCILLOR,"2,761","4,365",ELECTED,YES
Kitchener C,IOANNIDIS,BIL,LOCAL COUNCILLOR,"2,899","5,592",ELECTED,YES
Kitchener C,JANECKI,ZYG,LOCAL COUNCILLOR,"2,147","4,250",ELECTED,YES
Kitchener C,ETHERINGTON,FRANK,LOCAL COUNCILLOR,"2,322","4,411",ELECTED,YES
Kitchener C,MARSH,SARAH,LOCAL COUNCILLOR,"3,194","5,381",ELECTED,NO
Lakeshore T,BAIN,TOM,MAYOR,"8,753","11,504",ELECTED,YES
Lakeshore T,FAZIO,AL,DEPUTY MAYOR,"5,095","11,441",ELECTED,YES
Lakeshore T,WILDER,STEVEN,LOCAL COUNCILLOR,"1,217","1,900",ELECTED,NO
Lakeshore T,JANISSE,LEN,LOCAL COUNCILLOR,846,"1,382",ELECTED,YES
Lakeshore T,MONK,DAVE,LOCAL COUNCILLOR,920,"1,656",ELECTED,YES
Lakeshore T,BAILEY,TRACEY,LOCAL COUNCILLOR,"1,228","2,772",ELECTED,NO
Lakeshore T,DIEMER,DAN,LOCAL COUNCILLOR,787,"1,908",ELECTED,YES
Lakeshore T,MCKINLAY,LINDA A,LOCAL COUNCILLOR,"1,127","1,856",ELECTED,YES
Lambton Co,CASE,TODD,COUNTY COUNCILLOR,,,,YES
Lambton Co,MCGUGAN,DON,COUNTY COUNCILLOR,,,,YES
Lambton Co,BROAD,ALAN,COUNTY COUNCILLOR,,,,NO
Lambton Co,MARRIOTT,KEVIN,COUNTY COUNCILLOR,,,,YES
Lambton Co,WEBER,BILL,COUNTY COUNCILLOR,,,,YES
Lambton Co,COOK,DOUG,COUNTY COUNCILLOR,,,,NO
Lambton Co,VEEN,IAN,COUNTY COUNCILLOR,,,,YES
Lambton Co,MCCHARLES,JOHN,COUNTY COUNCILLOR,,,,YES
Lambton Co,NAPPER,LONNY,COUNTY COUNCILLOR,,,,YES
Lambton Co,BRADLEY,MIKE,COUNTY COUNCILLOR,,,,YES
Lambton Co,GILLIS,ANNE MARIE,LOCAL AND COUNTY COUNCILLOR,,,,YES
Lambton Co,MACDOUGALL,BEV,LOCAL COUNCILLOR,,,,YES
Lambton Co,BRUZIEWICZ,ANDY,LOCAL AND COUNTY COUNCILLOR,,,,NO
Lambton Co,ARNOLD,STEVE,COUNTY COUNCILLOR,,,,YES
Lambton Co,GILLILAND,PETER,COUNTY COUNCILLOR,,,,YES
Lambton Co,MACKENZIE,LARRY,COUNTY COUNCILLOR,,,,YES
Lambton Co,BOUSHY,DAVE,LOCAL AND COUNTY COUNCILLOR,,,,YES
Lambton Shores M,WEBER,BILL,MAYOR,"2,737","6,003",ELECTED,YES
Lambton Shores M,COOK,DOUG,DEPUTY MAYOR,"3,907","5,859",ELECTED,YES
Lambton Shores M,MAGUIRE,DAVID,LOCAL COUNCILLOR,605,810,ELECTED,YES
Lambton Shores M,BONESTEEL,DOUG,LOCAL COUNCILLOR,546,"1,073",ELECTED,YES
Lambton Shores M,RUPKE,GERRY,LOCAL COUNCILLOR,551,"1,052",ELECTED,NO
Lambton Shores M,DODGE,RONN E.,LOCAL COUNCILLOR,671,850,ELECTED,NO
Lambton Shores M,GOODHAND,RICK,LOCAL COUNCILLOR,589,866,ELECTED,NO
Lambton Shores M,FINLAY,JAMES,LOCAL COUNCILLOR,,,ACCLAIMED,NO
Lambton Shores M,WILCOX,JEFF,LOCAL COUNCILLOR,427,835,ELECTED,NO
LaSalle T,ANTAYA,KEN,MAYOR,"6,834","10,021",ELECTED,YES
LaSalle T,BONDY,MARC,DEPUTY MAYOR,"5,403","9,927",ELECTED,YES
LaSalle T,AKPATA,MICHAEL,LOCAL COUNCILLOR,"4,318","41,224",ELECTED,YES
LaSalle T,BURNS,TERRY,LOCAL COUNCILLOR,"4,244","41,224",ELECTED,YES
LaSalle T,DESJARLAIS,SUE,LOCAL COUNCILLOR,"4,939","41,224",ELECTED,YES
LaSalle T,MELOCHE,CRYSTAL,LOCAL COUNCILLOR,"5,071","41,224",ELECTED,YES
LaSalle T,RENAUD,JEFF,LOCAL COUNCILLOR,"3,676","41,224",ELECTED,NO
Leamington M,PATERSON,JOHN,MAYOR,"5,273","7,099",ELECTED,YES
Leamington M,MACDONALD,HILDA,DEPUTY MAYOR,,,ACCLAIMED,YES
Leamington M,JACOBS,JOHN,LOCAL COUNCILLOR,"3,594","29,349",ELECTED,YES
Leamington M,VERBEKE,LARRY,LOCAL COUNCILLOR,"3,219","29,349",ELECTED,YES
Leamington M,ATKIN,RICK,LOCAL COUNCILLOR,"3,074","29,349",ELECTED,YES
Leamington M,WILKINSON,TIM,LOCAL COUNCILLOR,"2,975","29,348",ELECTED,NO
Leamington M,HAMMOND,JOHN,LOCAL COUNCILLOR,"2,357","29,348",ELECTED,NO
London C,BROWN,MATT,MAYOR,"63,842","110,551",ELECTED,YES
London C,VANHOLST,MICHAEL,LOCAL COUNCILLOR,,,ELECTED,NO
London C,ARMSTRONG,BILL,LOCAL COUNCILLOR,,,ELECTED,YES
London C,SALIH,MO MOHAED,LOCAL COUNCILLOR,,,ELECTED,NO
London C,HELMER,JESSE,LOCAL COUNCILLOR,,,ELECTED,NO
London C,CASSIDY,MAUREEN,LOCAL COUNCILLOR,,,ELECTED,NO
London C,SQUIRE,PHIL,LOCAL COUNCILLOR,,,ELECTED,NO
London C,MORGAN,JOSH,LOCAL COUNCILLOR,,,ELECTED,NO
London C,HUBERT,PAUL,LOCAL COUNCILLOR,,,ELECTED,YES
London C,HOPKINS,ANNA,LOCAL COUNCILLOR,,,ELECTED,NO
London C,RIDLEY,VIRGINIA,LOCAL COUNCILLOR,,,ELECTED,NO
London C,TURNER,STEPHEN,LOCAL COUNCILLOR,,,ELECTED,NO
London C,USHER,HAROLD,LOCAL COUNCILLOR,,,ELECTED,YES
London C,PARK,TANYA,LOCAL COUNCILLOR,,,ELECTED,NO
London C,ZAIFMAN,JARED,LOCAL COUNCILLOR,,,ELECTED,NO
Lucan Biddulph Tp,BURGHARDT-JESSON,CATHY,MAYOR,942,"1,585",ELECTED,YES
Lucan Biddulph Tp,VAN GEEL,ANDY,DEPUTY MAYOR,871,"1,576",ELECTED,YES
Lucan Biddulph Tp,MANDERS,DAVE,LOCAL COUNCILLOR,310,612,ELECTED,YES
Lucan Biddulph Tp,WESTMAN,ALEX,LOCAL COUNCILLOR,,,ACCLAIMED,YES
Lucan Biddulph Tp,HALL,WAYNE,LOCAL COUNCILLOR,,,ACCLAIMED,YES
Malahide Tp,MENNILL,DAVE,MAYOR, -   , -   ,ACCLAIMED,YES
Malahide Tp,WOLFE,MIKE,DEPUTY MAYOR,"1,310","2,265",ELECTED,YES
Malahide Tp,WIDNER,MARK,LOCAL COUNCILLOR,370,555,ELECTED,YES
Malahide Tp,MOORE,MAX,LOCAL COUNCILLOR,242,409,ELECTED,YES
Malahide Tp,CERNA,RICK,LOCAL COUNCILLOR,243,448,ELECTED,NO
Malahide Tp,WALES,MARK,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,YES
Malahide Tp,GLINSKI,CHESTER,LOCAL COUNCILLOR,318,489,ELECTED,YES
Mapleton Tp,DRISCOLL,S. NEIL,MAYOR,"1,621","2,195",ELECTED,YES
Mapleton Tp,CRAVEN,DENNIS,LOCAL COUNCILLOR,"1,069","7,639",ELECTED,NO
Mapleton Tp,MARTIN,MICHAEL,LOCAL COUNCILLOR,"1,010","7,639",ELECTED,NO
Mapleton Tp,OTTENS,MARLENE,LOCAL COUNCILLOR,"1,031","7,639",ELECTED,NO
Mapleton Tp,WOODHAM,LORI,LOCAL COUNCILLOR,"1,005","7,639",ELECTED,NO
Meaford M,CLUMPUS ,BARB,MAYOR,"1,885","4,888",ELECTED,YES
Meaford M,GREENFIELD ,HARLEY ,DEPUTY MAYOR,"2,862","4,737",ELECTED,YES
Meaford M,BARTLEY,STEVEN,LOCAL COUNCILLOR,"1,776","20,394",ELECTED,NO
Meaford M,BELL,TONY,LOCAL COUNCILLOR,"2,470","20,394",ELECTED,NO
Meaford M,CALVERT,JADEN,LOCAL COUNCILLOR,"2,008","20,394",ELECTED,NO
Meaford M,SHIRLEY ,KEAVENEY,LOCAL COUNCILLOR,"3,042","20,394",ELECTED,NO
Meaford M,POETKER,MIKE,LOCAL COUNCILLOR,"1,854","20,394",ELECTED,YES
Middlesex Centre M,EDMONDSON,AL,MAYOR, -   , -   ,ACCLAIMED,YES
Middlesex Centre M,BLOOMFIELD,CLARE,DEPUTY MAYOR, -   , -   ,ACCLAIMED,YES
Middlesex Centre M,HARVEY,STEPHEN,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,YES
Middlesex Centre M,BRENNAN,JOHN,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,YES
Middlesex Centre M,MC MILLAN,SHARON,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,YES
Middlesex Centre M,DE VIET,AINA,LOCAL COUNCILLOR,382,759,ELECTED,YES
Middlesex Centre M,BERZE,FRANK,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,YES
Middlesex Co,SMITH,KURTIS,COUNTY COUNCILLOR,,,,YES
Middlesex Co,BLACKMORE,VANCE,COUNTY COUNCILLOR,,,,YES
Middlesex Co,WILKINS,MARIGAY,COUNTY COUNCILLOR,,,,NO
Middlesex Co,BURGHARDT-JESSON,CATHY,COUNTY COUNCILLOR,,,,NO
Middlesex Co,VANDERHEYDEN,JOANNE,COUNTY COUNCILLOR,,,,YES
Middlesex Co,RICHARDS,BRAD,COUNTY COUNCILLOR,,,,NO
Middlesex Co,EDMONDSON,AL,COUNTY COUNCILLOR,,,,YES
Middlesex Co,MAUDSLEY,JIM,COUNTY COUNCILLOR,,,,YES
Middlesex Co,MEYER,MARCEL,COUNTY COUNCILLOR,,,,YES
Middlesex Co,SHIPWAY,DON,COUNTY COUNCILLOR,,,,YES
Middlesex Co,ROPP,BRIAN,COUNTY COUNCILLOR,,,,NO
Middlesex Co,BLOOMFIELD,CLARE,COUNTY COUNCILLOR,,,,YES
Minto T,BRIDGE,GEORGE,MAYOR,"1,976","3,441",ELECTED,YES
Minto T,TURTON,DAVID,LOCAL COUNCILLOR,"2,109","13,566",ELECTED,YES
Minto T,DIRKSEN,JUDY,LOCAL COUNCILLOR,"2,048","13,566",ELECTED,NO
Minto T,COLWELL,MARY-LOU,LOCAL COUNCILLOR,"1,943","13,566",ELECTED,YES
Minto T,ELLIOTT,RON B.,LOCAL COUNCILLOR,"1,879","13,566",ELECTED,YES
Minto T,ANDERSON,JEAN,LOCAL COUNCILLOR,"1,625","13,566",ELECTED,NO
Minto T,FAULKNER,RON,DEPUTY MAYOR,,,ACCLAIMED,YES
Morris-Turnberry M,GOWING,PAUL,MAYOR,766,"1,415",ELECTED,YES
Morris-Turnberry M,HEFFER,JAMIE,LOCAL COUNCILLOR,893,"5,954",ELECTED,YES
Morris-Turnberry M,SMUCK,JOHN CHARLES,LOCAL COUNCILLOR,822,"5,954",ELECTED,YES
Morris-Turnberry M,ZINN,SHAREN,LOCAL COUNCILLOR,814,"5,954",ELECTED,NO
Morris-Turnberry M,KELLY,DOROTHY R.,LOCAL COUNCILLOR,688,"5,954",ELECTED,NO
Morris-Turnberry M,NELEMANS,JIM,LOCAL COUNCILLOR,651,"5,954",ELECTED,NO
Newbury V,BREWER,DIANE,REEVE,115,212,ELECTED,YES
Newbury V,CHALLIS,RON,LOCAL COUNCILLOR,130,211,ELECTED,NO
Newbury V,DEGRAW,CHRIS,LOCAL COUNCILLOR,156,211,ELECTED,YES
Newbury V,NOE,MIKE,LOCAL COUNCILLOR,101,211,ELECTED,NO
Newbury V,VAN DER WYNGAARD,ABE,LOCAL COUNCILLOR,102,211,ELECTED,NO
Norfolk County,LUKE,CHARLIE,MAYOR,"10,644","19,658",ELECTED,YES
Norfolk County,HAYDT,NOEL,COUNTY COUNCILLOR,976,"2,597",ELECTED,NO
Norfolk County,GEYSENS,ROGER,COUNTY COUNCILLOR,933,"1,335",ELECTED,YES
Norfolk County,COLUMBUS,MICHAEL,COUNTY COUNCILLOR,"1,737","2,184",ELECTED,YES
Norfolk County,OLIVER,JIM,COUNTY COUNCILLOR,"1,143","1,892",ELECTED,YES
Norfolk County,BLACK,PETER,COUNTY COUNCILLOR,"2,082","9,593",ELECTED,YES
Norfolk County,BRUNTON,DOUG,COUNTY COUNCILLOR,"1,966","9,593",ELECTED,NO
Norfolk County,WELLS,JOHN,COUNTY COUNCILLOR,"2,034","3,803",ELECTED,YES
Norfolk County,SONNENBERG,HAROLD,COUNTY COUNCILLOR,"1,269","2,443",ELECTED,YES
North Dumfries Tp,FOXTON,SUSAN,MAYOR,"1,278","3,037",ELECTED,YES
North Dumfries Tp,ROLLEMAN,ROD,LOCAL COUNCILLOR,352,858,ELECTED,NO
North Dumfries Tp,OSTNER,DERRICK,LOCAL COUNCILLOR,382,710,ELECTED,NO
North Dumfries Tp,TAYLOR,GORDON,LOCAL COUNCILLOR,527,748,ELECTED,YES
North Dumfries Tp,RITCHIE,NEIL,LOCAL COUNCILLOR,509,672,ELECTED,YES
North Huron Tp,VINCENT,NEIL G.,REEVE,998,"2,028",ELECTED,YES
North Huron Tp,KNOTT,BILL,LOCAL COUNCILLOR,217,654,ELECTED,YES
North Huron Tp,VODDEN,BROCK,LOCAL COUNCILLOR,314,654,ELECTED,YES
North Huron Tp,CAMPBELL,JAMES,LOCAL COUNCILLOR,254,949,ELECTED,YES
North Huron Tp,HALLAHAN,RAY,LOCAL COUNCILLOR,280,949,ELECTED,YES
North Huron Tp,RITSEMA-TEENINGA,YOLANDA,LOCAL COUNCILLOR,712,"2,052",ELECTED,NO
North Huron Tp,SEIP,TREVOR,LOCAL COUNCILLOR,837,"2,052",ELECTED,NO
North Middlesex M,SHIPWAY,DON,MAYOR,"1,261","2,466",ELECTED,YES
North Middlesex M,ROPP,BRIAN,DEPUTY MAYOR,"1,772","2,432",ELECTED,YES
North Middlesex M,NICHOL,JOAN,LOCAL COUNCILLOR,,,ELECTED,NO
North Middlesex M,MCLINCHEY,DOREEN,LOCAL COUNCILLOR,,,ACCLAIMED,YES
North Middlesex M,MOIR,GORD,LOCAL COUNCILLOR,,,ACCLAIMED,YES
North Middlesex M,HEMMING,ANDREW,LOCAL COUNCILLOR,,,ELECTED,YES
North Middlesex M,CORNELISSEN,ADRIAN,LOCAL COUNCILLOR,,,ACCLAIMED,YES
North Perth M,BEHRNS,JULIE,MAYOR,,,ACCLAIMED,YES
North Perth M,KELLUM,DOUG,DEPUTY MAYOR,"1,526","2,668",ELECTED,YES
North Perth M,JUDGE,VINCE,LOCAL COUNCILLOR,"1,269","4,575",ELECTED,YES
North Perth M,RICHARDSON,MATT,LOCAL COUNCILLOR,"1,335","4,575",ELECTED,YES
North Perth M,SEILER,TERRY,LOCAL COUNCILLOR,"1,073","4,575",ELECTED,NO
North Perth M,BUCHANAN,KEN,LOCAL COUNCILLOR,,,ACCLAIMED,YES
North Perth M,DUNCAN,MATT,LOCAL COUNCILLOR,,,ACCLAIMED,YES
North Perth M,LUDINGTON,DAVID,LOCAL COUNCILLOR,,,ACCLAIMED,YES
North Perth M,HORN,PAUL,LOCAL COUNCILLOR,,,ACCLAIMED,YES
North Perth M,SCHNEIDER,MEREDITH,LOCAL COUNCILLOR,,,ACCLAIMED,YES
Northern Bruce Peninsula M,MCIVER,MILT,MAYOR,"2,200","3,698",ELECTED,YES
Northern Bruce Peninsula M,GREIG,PATRICIA,DEPUTY MAYOR,"1,218",,ELECTED,NO
Northern Bruce Peninsula M,BOYLE,TOM,LOCAL COUNCILLOR,"1,864",,ELECTED,YES
Northern Bruce Peninsula M,ROUSE,ROB,LOCAL COUNCILLOR,"1,579",,ELECTED,NO
Northern Bruce Peninsula M,SALEN,GRIFFIN,LOCAL COUNCILLOR,"1,327",,ELECTED,NO
Norwich Tp,MARTIN,LARRY,MAYOR,"1,564","2,987",ELECTED,NO
Norwich Tp,SCHOLTEN,JOHN,LOCAL COUNCILLOR,335,894,ELECTED,NO
Norwich Tp,DEPLANCKE,LYNNE,LOCAL COUNCILLOR,,,ACCLAIMED,YES
Norwich Tp,PALMER,JIM,LOCAL COUNCILLOR,440,850,ELECTED,NO
Norwich Tp,BUCHANAN,WAYNE,LOCAL COUNCILLOR,444,541,ELECTED,NO
Oil Springs V,VEEN,IAN,MAYOR,227,393,ELECTED,YES
Oil Springs V,BURNS-ANTOINE,ANDREA,LOCAL COUNCILLOR,239,"1,227",ELECTED,NO
Oil Springs V,POWELL,RICK,LOCAL COUNCILLOR,201,"1,227",ELECTED,YES
Oil Springs V,STRANGWAY,MATT,LOCAL COUNCILLOR,289,"1,227",ELECTED,NO
Oil Springs V,WAGNER,LARRY,LOCAL COUNCILLOR,245,"1,227",ELECTED,YES
Owen Sound C,BODDY,IAN,MAYOR,"3,937","8,311",ELECTED,YES
Owen Sound C,WRIGHT,ARLENE,DEPUTY MAYOR,"4,412","7,788",ELECTED,YES
Owen Sound C,THOMAS,RICHARD,LOCAL COUNCILLOR,"4,524","46,283",ELECTED,NO
Owen Sound C,DODD,TRAVIS,LOCAL COUNCILLOR,"4,421","46,283",ELECTED,NO
Owen Sound C,LEMON,PETER,LOCAL COUNCILLOR,"4,141","46,283",ELECTED,YES
Owen Sound C,MCMANAMAN,JIM,LOCAL COUNCILLOR,"3,900","46,283",ELECTED,YES
Owen Sound C,GREIG,SCOTT,LOCAL COUNCILLOR,"3,485","46,283",ELECTED,NO
Owen Sound C,O'LEARY,BRIAN,LOCAL COUNCILLOR,"3,419","46,283",ELECTED,NO
Owen Sound C,KOEPKE,MARION,LOCAL COUNCILLOR,"2,874","46,283",ELECTED,NO
Oxford Co,BIRTCH,TREVOR,COUNTY COUNCILLOR,,,,NO
Oxford Co,TAIT,DEBORAH,COUNTY COUNCILLOR,,,,YES
Oxford Co,TALBOT,SANDRA,COUNTY COUNCILLOR,,,,YES
Oxford Co,COMISKEY,TED,COUNTY COUNCILLOR,,,,YES
Oxford Co,MARTIN,LARRY,COUNTY COUNCILLOR,,,,NO
Oxford Co,MAYBERRY,DAVID,COUNTY COUNCILLOR,,,,YES
Oxford Co,MOLNAR,STEPHEN,COUNTY COUNCILLOR,,,,NO
Oxford Co,MCKAY,DON,COUNTY COUNCILLOR,,,,YES
Oxford Co,LUPTON,MARGARET,COUNTY COUNCILLOR,,,,YES
Oxford Co,WEARN,MARION,COUNTY COUNCILLOR,,,,YES
Pelee Tp,MASSE,RICK,MAYOR, -   , -   ,ACCLAIMED,YES
Pelee Tp,DELELLIS,DAVE,LOCAL COUNCILLOR,157,347,ELECTED,NO
Pelee Tp,WIPER,DARLENE,LOCAL COUNCILLOR,153,347,ELECTED,YES
Pelee Tp,MALLOCH,DAYNE,LOCAL COUNCILLOR,152,347,ELECTED,YES
Pelee Tp,LETKEMAN,PETE,LOCAL COUNCILLOR,133,347,ELECTED,YES
Perth Co,MCMILLAN,BOB,COUNTY COUNCILLOR,,,,YES
Perth Co,EHGOETZ,RHONDA,COUNTY COUNCILLOR,,,,YES
Perth Co,TBD,PERTH EAST COUNCILLOR,COUNTY COUNCILLOR,,,,
Perth Co,BEHRNS,JULIE,COUNTY COUNCILLOR,,,,YES
Perth Co,KELLUM,DOUG,COUNTY COUNCILLOR,,,,YES
Perth Co,TBD,NORTH PERTH COUNCILLOR,COUNTY COUNCILLOR,,,,
Perth Co,WILHELM,ROBERT,COUNTY COUNCILLOR,,,,YES
Perth Co,TBD,PERTH SOUTH DEP MAYOR,COUNTY COUNCILLOR,,,,
Perth Co,MCKENZIE,WALTER,COUNTY COUNCILLOR,,,,YES
Perth Co,EIDT,DOUG,COUNTY COUNCILLOR,,,,YES
Perth East Tp,MCMILLAN,BOB,MAYOR, -   , -   ,ACCLAIMED,YES
Perth East Tp,EHGOETZ,RHONDA,DEPUTY MAYOR, -   , -   ,ACCLAIMED,YES
Perth East Tp,BRUNK,DON,LOCAL COUNCILLOR,273,537,ELECTED,YES
Perth East Tp,SMITH,JERRY,LOCAL COUNCILLOR,375,636,ELECTED,NO
Perth East Tp,DOWD,HELEN,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,NO
Perth East Tp,CRESSMAN,JEFF,LOCAL COUNCILLOR,334,672,ELECTED,NO
Perth East Tp,MACALPINE,ANDREW,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,YES
Perth South Tp,WILHELM,ROBERT,MAYOR,979,"1,404",ELECTED,YES
Perth South Tp,AITCHESON,JIM,LOCAL COUNCILLOR,543,711,ELECTED,YES
Perth South Tp,ARKETT,STUART,LOCAL COUNCILLOR,408,711,ELECTED,YES
Perth South Tp,BARKER,CATHY,LOCAL COUNCILLOR,450,724,ELECTED,NO
Perth South Tp,CORRIVEAU,SAM,LOCAL COUNCILLOR,477,724,ELECTED,NO
Perth South Tp,JEFFREY,WILLIAM,LOCAL COUNCILLOR,362,711,ELECTED,NO
Perth South Tp,ZURBRIGG,MELINDA,LOCAL COUNCILLOR,435,724,ELECTED,YES
Petrolia T,MCCHARLES,JOHN,MAYOR,"1,310","1,599",ELECTED,YES
Petrolia T,BROWN,TIM,LOCAL COUNCILLOR,"1,259","7,962",ELECTED,YES
Petrolia T,FIELD ,JOEL,LOCAL COUNCILLOR,"1,204","7,962",ELECTED,YES
Petrolia T,GLEESON,MARY-PAT,LOCAL COUNCILLOR,"1,024","7,962",ELECTED,YES
Petrolia T,O'HARA,ROSS,LOCAL COUNCILLOR,"1,250","7,962",ELECTED,NO
Petrolia T,PURDY,GRANT,LOCAL COUNCILLOR,592,"7,962",ELECTED,NO
Petrolia T,WELSH,LIZ,LOCAL COUNCILLOR,"1,204","7,962",ELECTED,YES
Plympton-Wyoming T,NAPPER,LONNY,MAYOR,,,ACCLAIMED,YES
Plympton-Wyoming T,DEKKER,BEN,LOCAL COUNCILLOR,"1,337","9,685",ELECTED,YES
Plympton-Wyoming T,MCEWEN,NETTY,LOCAL COUNCILLOR,"1,455","9,685",ELECTED,YES
Plympton-Wyoming T,NELSON,DON,LOCAL COUNCILLOR,"1,012","9,685",ELECTED,YES
